sample_id,cluster_label
s1_0,0
s1_1,0
s1_2,1
s1_3,2
s1_4,0
s1_5,2
s1_6,1
s1_7,2
s1_8,1
s1_9,1
s1_10,1
s1_11,2
s1_12,1
s1_13,1
s1_14,0
s1_15,1
s1_16,0
s1_17,2
s1_18,1
s1_19,1
s1_20,1
s1_21,-1
s1_22,2
s1_23,0
s1_24,1
s1_25,0
s1_26,0
s1_27,2
s1_28,2
s1_29,1
s1_30,1
s1_31,1
s1_32,0
s1_33,1
s1_34,0
s1_35,1
s1_36,0
s1_37,2
s1_38,0
s1_39,2
s1_40,2
s1_41,1
s1_42,0
s1_43,2
s1_44,1
s1_45,1
s1_46,0
s1_47,2
s1_48,0
s1_49,2
s1_50,2
s1_51,0
s1_52,0
s1_53,1
s1_54,0
s1_55,2
s1_56,0
s1_57,1
s1_58,2
s1_59,1
s1_60,0
s1_61,2
s1_62,2
s1_63,0
s1_64,0
s1_65,2
s1_66,2
s1_67,0
s1_68,0
s1_69,1
s1_70,2
s1_71,0
s1_72,0
s1_73,1
s1_74,1
s1_75,0
s1_76,0
s1_77,2
s1_78,1
s1_79,2
s1_80,1
s1_81,1
s1_82,0
s1_83,1
s1_84,2
s1_85,0
s1_86,-1
s1_87,1
s1_88,2
s1_89,1
s1_90,0
s1_91,1
s1_92,0
s1_93,1
s1_94,1
s1_95,0
s1_96,0
s1_97,1
s1_98,0
s1_99,0
s1_100,2
s1_101,1
s1_102,2
s1_103,1
s1_104,1
s1_105,1
s1_106,1
s1_107,1
s1_108,2
s1_109,0
s1_110,2
s1_111,1
s1_112,1
s1_113,1
s1_114,1
s1_115,2
s1_116,0
s1_117,2
s1_118,0
s1_119,2
s1_120,2
s1_121,2
s1_122,1
s1_123,0
s1_124,0
s1_125,0
s1_126,0
s1_127,1
s1_128,0
s1_129,0
s1_130,1
s1_131,1
s1_132,1
s1_133,1
s1_134,1
s1_135,2
s1_136,2
s1_137,0
s1_138,1
s1_139,0
s1_140,1
s1_141,1
s1_142,0
s1_143,1
s1_144,2
s1_145,2
s1_146,2
s1_147,1
s1_148,2
s1_149,1
s1_150,1
s1_151,0
s1_152,2
s1_153,0
s1_154,1
s1_155,2
s1_156,2
s1_157,0
s1_158,0
s1_159,1
s1_160,1
s1_161,0
s1_162,0
s1_163,0
s1_164,1
s1_165,0
s1_166,2
s1_167,1
s1_168,1
s1_169,1
s1_170,1
s1_171,1
s1_172,2
s1_173,1
s1_174,2
s1_175,2
s1_176,2
s1_177,1
s1_178,2
s1_179,2
s1_180,0
s1_181,1
s1_182,0
s1_183,-1
s1_184,2
s1_185,0
s1_186,2
s1_187,1
s1_188,2
s1_189,2
s1_190,0
s1_191,0
s1_192,2
s1_193,0
s1_194,2
s1_195,2
s1_196,2
s1_197,2
s1_198,1
s1_199,0
s1_200,1
s1_201,1
s1_202,2
s1_203,2
s1_204,1
s1_205,2
s1_206,0
s1_207,0
s1_208,2
s1_209,1
s1_210,1
s1_211,0
s1_212,2
s1_213,2
s1_214,0
s1_215,0
s1_216,0
s1_217,0
s1_218,1
s1_219,0
s1_220,-1
s1_221,2
s1_222,0
s1_223,0
s1_224,1
s1_225,2
s1_226,0
s1_227,0
s1_228,2
s1_229,1
s1_230,1
s1_231,0
s1_232,1
s1_233,0
s1_234,2
s1_235,2
s1_236,-1
s1_237,2
s1_238,0
s1_239,0
s1_240,0
s1_241,2
s1_242,2
s1_243,1
s1_244,0
s1_245,2
s1_246,2
s1_247,2
s1_248,0
s1_249,2
s1_250,0
s1_251,2
s1_252,0
s1_253,2
s1_254,2
s1_255,0
s1_256,2
s1_257,1
s1_258,0
s1_259,1
s1_260,1
s1_261,1
s1_262,0
s1_263,1
s1_264,2
s1_265,2
s1_266,0
s1_267,2
s1_268,2
s1_269,1
s1_270,1
s1_271,2
s1_272,2
s1_273,2
s1_274,0
s1_275,0
s1_276,0
s1_277,1
s1_278,1
s1_279,1
s1_280,2
s1_281,2
s1_282,2
s1_283,2
s1_284,0
s1_285,2
s1_286,0
s1_287,2
s1_288,2
s1_289,0
s1_290,1
s1_291,2
s1_292,2
s1_293,1
s1_294,0
s1_295,1
s1_296,2
s1_297,1
s1_298,0
s1_299,0
