sample_id,cluster_label
s2_0,2
s2_1,1
s2_2,0
s2_3,1
s2_4,1
s2_5,1
s2_6,1
s2_7,0
s2_8,1
s2_9,1
s2_10,1
s2_11,0
s2_12,1
s2_13,0
s2_14,1
s2_15,1
s2_16,1
s2_17,1
s2_18,0
s2_19,0
s2_20,0
s2_21,0
s2_22,1
s2_23,1
s2_24,0
s2_25,0
s2_26,1
s2_27,1
s2_28,0
s2_29,1
s2_30,1
s2_31,0
s2_32,0
s2_33,1
s2_34,1
s2_35,0
s2_36,1
s2_37,0
s2_38,0
s2_39,0
s2_40,0
s2_41,0
s2_42,1
s2_43,0
s2_44,0
s2_45,0
s2_46,1
s2_47,1
s2_48,0
s2_49,1
s2_50,1
s2_51,0
s2_52,1
s2_53,0
s2_54,1
s2_55,1
s2_56,0
s2_57,0
s2_58,1
s2_59,0
s2_60,1
s2_61,0
s2_62,1
s2_63,1
s2_64,1
s2_65,0
s2_66,0
s2_67,1
s2_68,0
s2_69,1
s2_70,0
s2_71,0
s2_72,1
s2_73,1
s2_74,0
s2_75,1
s2_76,0
s2_77,0
s2_78,0
s2_79,1
s2_80,0
s2_81,0
s2_82,0
s2_83,0
s2_84,0
s2_85,0
s2_86,0
s2_87,0
s2_88,1
s2_89,1
s2_90,1
s2_91,0
s2_92,0
s2_93,1
s2_94,0
s2_95,1
s2_96,1
s2_97,0
s2_98,1
s2_99,0
s2_100,1
s2_101,0
s2_102,0
s2_103,1
s2_104,1
s2_105,1
s2_106,0
s2_107,1
s2_108,1
s2_109,0
s2_110,0
s2_111,1
s2_112,0
s2_113,1
s2_114,1
s2_115,0
s2_116,0
s2_117,1
s2_118,1
s2_119,1
s2_120,0
s2_121,0
s2_122,1
s2_123,1
s2_124,0
s2_125,1
s2_126,0
s2_127,0
s2_128,1
s2_129,1
s2_130,0
s2_131,0
s2_132,0
s2_133,0
s2_134,1
s2_135,1
s2_136,0
s2_137,1
s2_138,1
s2_139,1
s2_140,0
s2_141,0
s2_142,1
s2_143,0
s2_144,1
s2_145,1
s2_146,0
s2_147,0
s2_148,1
s2_149,0
s2_150,1
s2_151,0
s2_152,1
s2_153,0
s2_154,1
s2_155,1
s2_156,1
s2_157,0
s2_158,1
s2_159,0
s2_160,1
s2_161,0
s2_162,1
s2_163,0
s2_164,0
s2_165,0
s2_166,1
s2_167,1
s2_168,0
s2_169,0
s2_170,0
s2_171,1
s2_172,1
s2_173,0
s2_174,0
s2_175,1
s2_176,0
s2_177,0
s2_178,1
s2_179,0
s2_180,1
s2_181,1
s2_182,1
s2_183,1
s2_184,0
s2_185,1
s2_186,1
s2_187,0
s2_188,0
s2_189,0
s2_190,0
s2_191,0
s2_192,1
s2_193,1
s2_194,1
s2_195,1
s2_196,1
s2_197,1
s2_198,0
s2_199,1
s2_200,1
s2_201,0
s2_202,0
s2_203,1
s2_204,0
s2_205,1
s2_206,1
s2_207,0
s2_208,0
s2_209,0
s2_210,0
s2_211,1
s2_212,1
s2_213,0
s2_214,1
s2_215,0
s2_216,0
s2_217,1
s2_218,0
s2_219,0
s2_220,0
s2_221,1
s2_222,1
s2_223,0
s2_224,0
s2_225,1
s2_226,0
s2_227,0
s2_228,1
s2_229,1
s2_230,0
s2_231,1
s2_232,1
s2_233,1
s2_234,1
s2_235,1
s2_236,0
s2_237,0
s2_238,1
s2_239,1
s2_240,1
s2_241,1
s2_242,0
s2_243,0
s2_244,1
s2_245,0
s2_246,1
s2_247,1
s2_248,1
s2_249,1
s2_250,0
s2_251,0
s2_252,0
s2_253,1
s2_254,0
s2_255,0
s2_256,0
s2_257,0
s2_258,1
s2_259,0
s2_260,0
s2_261,0
s2_262,1
s2_263,1
s2_264,0
s2_265,0
s2_266,1
s2_267,0
s2_268,1
s2_269,1
s2_270,0
s2_271,0
s2_272,0
s2_273,1
s2_274,1
s2_275,1
s2_276,0
s2_277,0
s2_278,0
s2_279,1
s2_280,1
s2_281,1
s2_282,0
s2_283,1
s2_284,1
s2_285,1
s2_286,0
s2_287,0
s2_288,0
s2_289,0
s2_290,0
s2_291,1
s2_292,0
s2_293,1
s2_294,1
s2_295,1
s2_296,0
s2_297,0
s2_298,1
s2_299,0
